BEN,TIME,NODE
0.3,9.6,1.1
2.32,6.3,1.25
10.58,7.55,1.95
2.16,4.75,1.4
3.29,4.4,1.35
5.01,5.6,1.6
7.34,9.5,1.9
7.55,6.05,1.65
2.76,4.4,1.3
1.15,4.3,1.25
3.04,5.2,1.5
3.53,6.95,1.9
4.92,5.25,1.5
2.67,4.85,1.45
8.98,5.75,1.7
4.43,5.5,1.5
10.0,6.75,1.8
2.28,5.45,1.5
9.66,6.7,1.8
0.96,4.1,1.1
2.39,5.05,1.4
0.44,3.6,1.05
1.34,4.65,1.25
10.57,8.25,2.15
3.27,4.85,1.3
9.15,6.35,1.65
3.74,6.15,1.6
0.0,3.1,1.0
2.36,4.7,1.25
11.77,7.6,2.0
3.12,5.65,1.55
2.59,5.4,1.45
6.67,7.35,1.9
2.9,6.15,1.6
2.44,5.0,1.3
6.84,6.45,1.75
0.3,3.8,1.05
1.0,4.35,1.2
7.56,5.85,1.55
5.09,6.05,1.6
6.98,6.8,1.75
3.35,4.65,1.35
8.21,6.7,1.6
1.76,4.35,1.25
3.61,4.85,1.3
4.63,5.4,1.5
4.99,6.35,1.75
6.21,6.35,1.75
0.75,4.75,1.35
1.25,4.75,1.4
0.93,3.6,1.15
1.96,4.05,1.3
1.28,4.05,1.3
3.95,6.05,1.9
5.65,4.65,1.45
3.88,4.3,1.4
1.98,3.9,1.3
3.91,4.6,1.45
11.39,5.6,1.75
2.18,4.25,1.25
3.43,5.75,1.5
7.05,7.05,1.85
2.34,5.25,1.5
8.16,6.45,1.75
6.03,5.75,1.6
12.67,6.65,1.8
3.35,4.85,1.3
6.89,6.15,1.55
6.73,6.1,1.7
6.44,5.65,1.6
6.51,5.65,1.55
1.81,5.35,1.5
0.73,4.95,1.3
0.64,4.15,1.15
0.09,4.2,1.15
3.94,5.25,1.45
0.99,4.5,1.3
0.23,4.25,1.2
5.92,5.8,1.65
5.65,5.5,1.5
2.65,4.7,1.35
1.78,4.35,1.25
1.26,4.6,1.3
11.28,5.75,1.6
2.63,4.4,1.25
1.85,4.45,1.25
3.48,5.1,1.45
2.96,4.75,1.3
4.23,6.3,1.75
5.38,5.65,1.55
7.3,6.7,1.8
2.7,4.9,1.4
5.0,5.8,1.5
9.73,6.25,1.65
4.58,5.35,1.55
7.27,5.1,1.45
1.39,4.25,1.25
4.6,5.5,1.55
5.6,6.4,1.75
3.2,7.15,2.0
