BEN,TIME,NODE
0.0,99.0,1.0
0.0,49.0,1.0
41.5,76.0,3.0
17.0,49.0,2.0
19.4,46.0,2.0
45.0,43.0,2.0
21.2,42.0,2.0
17.6,45.0,2.0
16.3,41.0,2.0
0.0,20.0,1.0
24.6,41.0,2.0
21.6,61.0,3.0
19.2,44.0,2.0
0.0,20.0,1.0
25.8,39.0,2.0
21.8,90.0,4.0
18.6,42.0,2.0
0.0,26.0,1.0
45.4,81.0,2.0
18.0,66.0,2.0
0.0,19.0,1.0
0.0,19.0,1.0
0.0,19.0,1.0
27.1,43.0,2.0
35.9,39.0,2.0
47.0,72.0,2.0
32.0,41.0,2.0
0.0,19.0,1.0
0.0,19.0,1.0
31.8,38.0,2.0
10.5,37.0,2.0
43.6,61.0,3.0
19.2,46.0,2.0
6.6,44.0,2.0
29.8,41.0,2.0
37.8,56.0,2.0
0.0,22.0,1.0
0.0,20.0,1.0
31.8,39.0,2.0
16.7,40.0,2.0
39.7,38.0,2.0
0.0,19.0,1.0
31.6,37.0,2.0
15.9,55.0,3.0
34.6,58.0,3.0
42.0,38.0,2.0
21.0,37.0,2.0
29.3,56.0,3.0
0.0,19.0,1.0
10.1,40.0,2.0
11.5,39.0,2.0
12.0,40.0,2.0
0.0,19.0,1.0
21.3,58.0,3.0
6.6,38.0,2.0
0.0,19.0,1.0
0.0,19.0,1.0
20.7,39.0,2.0
50.0,39.0,2.0
22.4,39.0,2.0
0.0,19.0,1.0
37.2,39.0,2.0
18.0,39.0,2.0
45.6,58.0,3.0
42.0,51.0,2.0
54.6,37.0,2.0
0.0,18.0,1.0
0.0,20.0,1.0
14.8,37.0,2.0
20.2,39.0,2.0
18.6,39.0,2.0
9.7,37.0,2.0
0.0,19.0,1.0
0.0,19.0,1.0
0.0,19.0,1.0
11.8,38.0,2.0
0.0,19.0,1.0
0.0,20.0,1.0
43.1,40.0,2.0
24.4,39.0,2.0
43.6,59.0,3.0
0.0,19.0,1.0
31.8,38.0,2.0
34.4,58.0,3.0
41.9,39.0,2.0
0.0,19.0,1.0
30.8,38.0,2.0
0.0,19.0,1.0
22.9,38.0,2.0
31.4,38.0,2.0
32.4,41.0,2.0
19.4,39.0,2.0
27.7,40.0,2.0
51.6,38.0,2.0
0.0,20.0,1.0
42.0,38.0,2.0
0.0,19.0,1.0
18.2,39.0,2.0
21.2,40.0,2.0
0.0,20.0,1.0
