0.0,82.0,0.0
61.0,8.0,26500.0
52.0,7.0,3500.0
61.0,8.0,16000.0
66.0,11.0,43500.0
61.0,11.0,19500.0
48.0,7.0,6500.0
53.0,8.0,11500.0
40.0,10.0,14500.0
41.0,7.0,2500.0
46.0,13.0,21000.0
43.0,7.0,9500.0
59.0,9.0,15000.0
0.0,4.0,0.0
72.0,9.0,6000.0
0.0,3.0,0.0
70.0,7.0,25500.0
48.0,7.0,11000.0
63.0,7.0,38500.0
54.0,7.0,14000.0
42.0,10.0,50500.0
0.0,4.0,0.0
0.0,3.0,0.0
70.0,7.0,10000.0
0.0,3.0,0.0
51.0,8.0,2500.0
52.0,7.0,11000.0
0.0,4.0,0.0
75.0,11.0,9000.0
57.0,11.0,14000.0
37.0,7.0,7500.0
66.0,11.0,74000.0
53.0,7.0,8000.0
0.0,5.0,0.0
39.0,7.0,7500.0
0.0,3.0,0.0
54.0,12.0,52000.0
48.0,7.0,20500.0
51.0,7.0,10000.0
0.0,3.0,0.0
44.0,10.0,500.0
41.0,17.0,64500.0
56.0,24.0,65500.0
0.0,4.0,0.0
54.0,8.0,20000.0
68.0,8.0,6500.0
65.0,17.0,12000.0
0.0,4.0,0.0
41.0,7.0,16500.0
28.0,9.0,25000.0
0.0,5.0,0.0
0.0,3.0,0.0
51.0,8.0,12500.0
35.0,7.0,9500.0
0.0,3.0,0.0
52.0,6.0,13000.0
0.0,3.0,0.0
0.0,3.0,0.0
56.0,7.0,2000.0
50.0,8.0,22500.0
0.0,4.0,0.0
60.0,7.0,14000.0
49.0,8.0,8500.0
66.0,10.0,8000.0
62.0,13.0,4500.0
70.0,8.0,14500.0
0.0,3.0,0.0
52.0,9.0,31500.0
65.0,6.0,18500.0
63.0,7.0,10500.0
0.0,3.0,0.0
16.0,7.0,19000.0
0.0,3.0,0.0
49.0,8.0,29000.0
0.0,3.0,0.0
0.0,3.0,0.0
0.0,3.0,0.0
69.0,7.0,12000.0
62.0,9.0,8500.0
55.0,8.0,5500.0
66.0,19.0,74000.0
46.0,11.0,16500.0
74.0,8.0,8000.0
65.0,7.0,21000.0
59.0,7.0,1000.0
0.0,4.0,0.0
47.0,6.0,12500.0
0.0,4.0,0.0
41.0,8.0,4500.0
74.0,7.0,18500.0
44.0,7.0,22000.0
66.0,10.0,43500.0
43.0,7.0,14000.0
64.0,6.0,5000.0
0.0,4.0,0.0
62.0,7.0,4500.0
51.0,12.0,18000.0
44.0,6.0,10500.0
0.0,5.0,0.0
70.0,11.0,13000.0
