BEN,TIME,NODE
22.45,8.35,2.0
12.1,7.5,1.75
23.6,7.4,1.85
17.45,7.25,1.7
13.25,6.3,1.7
19.9,6.4,1.8
18.5,7.05,1.85
16.65,6.4,1.7
10.1,6.1,1.65
17.75,7.1,1.95
9.55,5.15,1.5
20.85,6.4,1.85
27.5,8.75,2.0
20.7,6.7,1.85
17.6,6.95,1.95
26.0,6.6,1.9
31.1,6.65,1.95
11.7,5.6,1.7
29.05,6.25,2.0
21.25,6.45,1.9
17.5,6.3,1.95
3.05,3.7,1.2
11.5,5.65,1.65
19.95,6.75,1.9
15.75,6.65,1.85
13.65,8.2,2.0
13.2,7.2,1.95
10.7,6.5,1.65
17.6,6.75,1.75
19.7,8.35,1.9
16.1,7.0,1.85
21.5,7.2,2.0
11.0,6.35,1.75
12.3,6.7,1.9
6.2,4.55,1.35
15.0,7.05,1.85
19.0,6.75,1.85
20.45,8.45,1.95
24.1,6.95,1.9
19.15,7.5,2.0
21.35,6.8,1.9
9.05,5.0,1.5
22.1,6.65,1.85
22.5,7.55,1.9
22.4,7.7,1.85
10.6,7.15,1.75
26.2,7.65,2.0
23.85,6.55,1.9
13.5,7.05,2.0
10.8,7.15,1.9
22.45,7.6,1.9
15.7,6.05,1.85
24.25,7.2,2.0
15.3,6.9,1.9
16.55,6.35,1.8
22.6,6.95,1.95
18.4,7.0,1.8
12.7,5.55,1.65
22.4,7.05,2.0
19.9,7.35,1.8
21.15,8.45,2.0
20.85,13.35,2.0
14.55,7.6,1.8
22.95,10.15,2.35
12.45,7.7,1.7
21.1,8.35,1.85
10.05,6.65,1.65
25.35,7.85,1.9
22.0,8.95,2.0
19.05,6.95,1.85
20.5,9.8,1.9
8.3,9.45,1.75
10.55,14.9,1.8
14.85,15.0,1.85
9.9,13.85,1.55
29.8,17.4,2.0
14.3,12.3,1.65
22.0,19.8,1.9
15.3,6.65,1.75
15.65,5.9,1.7
20.3,7.55,2.0
13.15,6.65,1.7
26.95,7.9,1.95
20.8,7.7,1.95
9.6,6.85,1.65
20.2,6.75,1.9
24.3,7.2,1.95
20.1,6.75,1.9
7.7,6.45,1.85
15.85,6.7,1.9
6.5,7.35,1.95
14.85,7.3,1.85
15.25,6.65,1.8
18.9,6.8,1.9
20.3,6.8,1.9
11.0,7.35,1.6
14.6,9.55,1.75
11.85,6.0,1.65
21.8,7.25,1.95
18.05,6.85,1.9
