BEN,TIME,NODE
18.2,14.9,2.0
14.45,15.65,1.7
17.0,20.9,2.0
21.35,11.1,1.95
17.5,9.75,1.9
22.7,10.25,2.25
15.7,9.1,2.0
19.6,9.85,2.4
11.8,6.5,1.8
20.6,8.1,2.0
21.35,8.3,2.0
10.9,7.15,1.75
23.7,8.2,2.0
13.1,7.1,1.85
17.35,7.8,1.95
26.0,7.7,2.0
26.0,7.35,2.0
12.95,6.8,1.85
28.35,7.55,2.0
13.15,7.65,1.95
15.55,8.05,2.0
18.75,7.85,1.95
10.75,9.05,2.15
24.1,8.85,2.3
17.4,7.05,1.95
13.75,7.2,1.9
15.95,7.75,1.95
13.4,9.4,2.0
17.45,12.1,1.85
15.2,11.15,1.95
14.6,7.4,1.95
15.95,7.4,2.0
11.65,7.0,1.95
10.85,7.7,2.05
10.65,6.85,1.9
14.9,6.3,1.9
15.25,6.8,1.9
17.55,7.1,2.0
22.15,7.55,2.25
17.65,6.6,2.0
15.6,7.4,2.15
8.4,6.95,2.0
22.45,7.5,2.0
16.7,7.55,2.1
17.7,8.65,2.2
11.55,7.6,1.8
22.6,9.3,2.0
19.4,10.05,1.95
12.6,10.65,1.95
8.4,9.8,1.95
15.5,8.75,1.9
8.95,8.6,1.85
15.05,9.4,1.95
7.75,9.2,2.0
15.3,8.15,1.8
18.7,9.1,2.15
11.25,7.25,1.9
17.55,9.35,2.1
17.95,8.7,1.95
19.95,8.0,1.95
18.25,7.75,1.95
18.2,7.6,2.05
15.0,7.2,2.0
19.45,7.25,1.95
18.6,8.4,2.0
25.35,8.15,1.95
15.9,11.6,2.0
20.05,9.6,2.0
20.95,8.5,1.95
20.6,9.1,2.05
15.6,8.6,1.9
4.05,7.95,2.05
12.8,7.5,2.0
17.9,8.55,2.05
5.55,6.8,1.75
21.35,8.35,2.05
9.55,7.9,1.9
19.0,9.35,2.0
24.05,7.95,2.0
13.3,8.95,2.1
16.6,7.95,2.0
15.0,7.25,2.0
22.9,6.75,1.95
19.55,7.15,1.9
12.4,8.4,1.95
18.9,8.6,2.05
19.85,7.85,2.05
16.8,9.6,2.0
11.75,9.35,2.1
21.05,7.95,2.0
14.7,7.35,2.0
16.75,6.9,1.95
17.1,7.65,2.05
20.4,7.35,1.95
17.3,8.9,2.25
19.45,7.6,1.95
17.75,7.9,1.95
15.1,8.0,1.95
10.1,7.3,1.8
23.55,7.4,2.0
