BEN,TIME,NODE
20.2,149.0,2.0
14.5,51.0,2.0
82.3,70.0,2.0
38.8,77.0,2.0
4.0,63.0,2.0
31.4,79.0,2.0
22.4,69.0,2.0
8.4,51.0,2.0
20.0,56.0,2.0
29.3,52.0,2.0
6.6,58.0,2.0
49.0,55.0,2.0
27.8,56.0,2.0
25.9,53.0,2.0
27.8,60.0,2.0
6.6,54.0,2.0
18.0,43.0,2.0
17.4,44.0,2.0
45.6,38.0,2.0
29.0,82.0,2.0
3.4,40.0,2.0
0.0,19.0,1.0
3.8,46.0,2.0
54.7,55.0,2.0
41.8,55.0,2.0
41.0,46.0,2.0
29.6,57.0,2.0
0.0,24.0,1.0
47.8,41.0,2.0
67.2,60.0,2.0
46.8,57.0,2.0
44.3,54.0,2.0
28.1,49.0,2.0
21.6,52.0,2.0
0.0,25.0,1.0
24.8,73.0,3.0
1.6,49.0,2.0
0.0,24.0,1.0
32.0,50.0,2.0
43.7,52.0,2.0
49.1,50.0,2.0
25.4,50.0,2.0
41.4,51.0,2.0
25.2,47.0,2.0
47.0,71.0,3.0
18.5,43.0,2.0
26.0,45.0,2.0
48.2,46.0,2.0
32.4,46.0,2.0
15.2,46.0,2.0
0.0,21.0,1.0
26.2,48.0,2.0
17.0,47.0,2.0
40.6,51.0,2.0
16.6,49.0,2.0
44.4,44.0,2.0
42.2,50.0,2.0
29.8,44.0,2.0
65.0,46.0,2.0
27.4,43.0,2.0
46.5,46.0,2.0
60.8,65.0,2.0
36.2,42.0,2.0
57.2,39.0,2.0
16.7,39.0,2.0
40.1,57.0,3.0
9.8,39.0,2.0
43.8,39.0,2.0
47.8,38.0,2.0
30.8,38.0,2.0
18.4,38.0,2.0
21.4,58.0,3.0
0.0,19.0,1.0
31.6,40.0,2.0
24.3,40.0,2.0
0.0,18.0,1.0
13.9,37.0,2.0
13.1,37.0,2.0
46.9,39.0,2.0
35.4,38.0,2.0
44.3,40.0,2.0
8.4,37.0,2.0
49.2,37.0,2.0
40.4,37.0,2.0
22.9,60.0,3.0
7.0,57.0,3.0
39.8,37.0,2.0
33.2,38.0,2.0
33.0,38.0,2.0
50.2,39.0,2.0
47.2,41.0,2.0
4.0,40.0,2.0
29.1,58.0,3.0
40.1,37.0,2.0
20.1,57.0,3.0
16.7,39.0,2.0
20.8,37.0,2.0
32.5,39.0,2.0
47.2,38.0,2.0
59.4,37.0,2.0
