BEN,TIME,NODE
4.42,14.5,1.45
0.72,7.35,1.2
14.65,7.4,1.9
7.08,5.2,1.5
5.15,7.85,1.65
11.75,8.25,1.8
8.0,8.4,1.8
3.62,5.05,1.45
2.52,4.0,1.25
3.91,5.35,1.5
0.73,4.45,1.1
12.11,5.6,1.7
5.74,5.1,1.55
7.73,5.1,1.55
6.65,4.85,1.5
2.77,4.55,1.4
8.27,5.6,1.6
3.62,5.45,1.3
11.79,6.25,1.7
2.39,5.4,1.15
1.42,6.15,1.4
0.81,3.75,1.15
2.98,5.95,1.6
14.51,10.35,1.8
8.43,7.1,1.75
8.59,11.15,1.85
5.49,7.3,1.6
0.0,5.2,1.0
3.95,11.35,1.45
15.15,7.85,1.85
9.71,7.1,1.7
7.29,6.5,1.55
6.33,7.2,1.65
4.93,7.75,1.75
2.49,4.65,1.2
4.28,7.3,1.75
0.62,4.35,1.1
2.62,4.6,1.15
6.3,6.35,1.5
9.84,7.85,1.9
7.73,7.5,1.8
2.19,4.8,1.35
8.39,6.55,1.55
5.94,5.95,1.6
3.2,5.05,1.35
1.9,5.1,1.25
8.8,7.8,1.65
10.54,7.45,1.75
6.14,6.65,1.55
3.35,6.45,1.35
0.42,3.6,1.1
4.4,4.7,1.4
3.56,4.5,1.35
9.74,7.7,1.8
3.46,5.3,1.55
6.74,5.6,1.55
4.09,3.95,1.25
3.23,4.65,1.4
15.45,6.5,1.9
4.53,7.9,1.5
7.08,6.3,1.35
11.28,6.75,1.9
5.06,5.05,1.55
8.19,5.35,1.6
3.81,4.3,1.35
10.67,6.1,1.85
1.53,3.8,1.2
7.66,5.6,1.65
13.02,5.95,1.75
12.9,6.15,1.8
4.45,5.0,1.5
1.71,3.8,1.2
1.31,3.8,1.2
3.92,4.95,1.5
5.09,5.4,1.6
6.2,4.8,1.45
5.87,5.6,1.65
1.48,3.7,1.15
10.67,6.65,1.6
6.93,5.45,1.6
6.37,5.6,1.65
3.34,5.2,1.55
11.51,7.25,1.8
4.3,4.8,1.4
3.34,4.35,1.35
4.3,5.15,1.55
9.82,6.0,1.75
2.55,4.45,1.35
2.58,5.0,1.5
13.14,6.35,1.75
8.76,6.65,1.75
2.54,5.15,1.4
4.42,5.2,1.3
5.77,5.3,1.5
10.5,6.3,1.7
2.9,5.05,1.4
4.77,5.0,1.4
5.31,5.85,1.65
10.35,5.95,1.65
7.69,5.4,1.55
