BEN,TIME,NODE
55.0,42.0,2.0
59.0,47.0,2.0
105.0,38.0,2.0
83.0,42.0,2.0
35.0,44.0,2.0
71.0,43.0,2.0
52.0,45.0,2.0
38.0,40.0,2.0
60.0,42.0,2.0
69.0,43.0,2.0
40.0,44.0,2.0
69.0,45.0,2.0
80.0,47.0,2.0
62.0,40.0,2.0
75.0,41.0,2.0
58.0,42.0,2.0
65.0,39.0,2.0
72.0,38.0,2.0
90.0,37.0,2.0
69.0,41.0,2.0
61.0,43.0,2.0
0.0,23.0,1.0
40.0,45.0,2.0
77.0,47.0,2.0
77.0,43.0,2.0
54.0,41.0,2.0
70.0,40.0,2.0
0.0,19.0,1.0
94.0,62.0,3.0
79.0,42.0,2.0
63.0,39.0,2.0
78.0,39.0,2.0
49.0,38.0,2.0
46.0,60.0,3.0
46.0,43.0,2.0
76.0,39.0,2.0
78.0,39.0,2.0
67.0,39.0,2.0
90.0,40.0,2.0
83.0,61.0,3.0
81.0,57.0,3.0
55.0,37.0,2.0
75.0,39.0,2.0
55.0,40.0,2.0
91.0,40.0,2.0
41.0,57.0,3.0
71.0,64.0,3.0
84.0,42.0,2.0
57.0,43.0,2.0
38.0,43.0,2.0
73.0,41.0,2.0
61.0,44.0,2.0
68.0,45.0,2.0
49.0,40.0,2.0
69.0,40.0,2.0
67.0,41.0,2.0
78.0,41.0,2.0
60.0,42.0,2.0
79.0,41.0,2.0
63.0,40.0,2.0
65.0,42.0,2.0
81.0,45.0,2.0
60.0,39.0,2.0
83.0,40.0,2.0
46.0,39.0,2.0
56.0,40.0,2.0
43.0,42.0,2.0
83.0,42.0,2.0
74.0,40.0,2.0
65.0,39.0,2.0
62.0,42.0,2.0
41.0,43.0,2.0
21.0,39.0,2.0
55.0,41.0,2.0
66.0,42.0,2.0
57.0,43.0,2.0
64.0,42.0,2.0
77.0,44.0,2.0
79.0,42.0,2.0
67.0,41.0,2.0
78.0,41.0,2.0
55.0,62.0,3.0
91.0,39.0,2.0
85.0,39.0,2.0
46.0,45.0,2.0
61.0,46.0,2.0
64.0,39.0,2.0
50.0,40.0,2.0
37.0,39.0,2.0
61.0,42.0,2.0
60.0,61.0,3.0
35.0,38.0,2.0
54.0,38.0,2.0
77.0,59.0,3.0
52.0,42.0,2.0
46.0,38.0,2.0
74.0,40.0,2.0
41.0,38.0,2.0
71.0,42.0,2.0
85.0,39.0,2.0
