BEN,TIME,DIST
0.0,3382.0,0.0
0.0,2812.0,0.0
11.0,2643.0,3800.0
20.0,2861.0,3200.0
0.0,2360.0,0.0
40.0,2406.0,9900.0
7.0,2930.0,3000.0
14.0,2977.0,4500.0
6.0,2559.0,500.0
48.0,2462.0,12100.0
0.0,2445.0,0.0
8.0,2513.0,2100.0
23.0,2838.0,7700.0
0.0,2972.0,0.0
70.0,2669.0,18800.0
0.0,2467.0,0.0
29.0,2396.0,10900.0
37.0,2558.0,18600.0
29.0,2376.0,6500.0
40.0,2409.0,18700.0
23.0,2411.0,10500.0
46.0,2441.0,15800.0
0.0,2407.0,0.0
33.0,2901.0,11200.0
22.0,3288.0,2600.0
9.0,2576.0,1900.0
30.0,2488.0,13200.0
9.0,2957.0,3900.0
9.0,3693.0,3800.0
19.0,2473.0,4300.0
24.0,2503.0,8400.0
32.0,2558.0,7400.0
28.0,2594.0,6400.0
0.0,2581.0,0.0
15.0,2454.0,11300.0
8.0,2393.0,3900.0
26.0,2828.0,4500.0
0.0,2645.0,0.0
0.0,2409.0,0.0
10.0,3284.0,1100.0
42.0,2679.0,8800.0
7.0,3300.0,3800.0
0.0,3201.0,0.0
6.0,2680.0,3500.0
7.0,3125.0,3000.0
47.0,3265.0,14800.0
9.0,3122.0,4200.0
23.0,2842.0,5300.0
31.0,3275.0,17000.0
0.0,2952.0,0.0
0.0,2595.0,0.0
0.0,2400.0,0.0
20.0,2420.0,8300.0
11.0,2501.0,1600.0
12.0,2416.0,2900.0
32.0,2421.0,6300.0
11.0,2565.0,1900.0
21.0,2547.0,9300.0
14.0,2454.0,1600.0
22.0,2504.0,3700.0
18.0,2999.0,1500.0
0.0,2888.0,0.0
31.0,3080.0,7500.0
30.0,3839.0,4700.0
36.0,4170.0,22000.0
0.0,2596.0,0.0
33.0,2881.0,18700.0
0.0,2918.0,0.0
15.0,2777.0,1600.0
11.0,2491.0,1900.0
44.0,2408.0,14400.0
0.0,2457.0,0.0
19.0,2654.0,9300.0
0.0,2652.0,0.0
33.0,2484.0,14100.0
0.0,2456.0,0.0
5.0,2404.0,2400.0
14.0,3181.0,3900.0
33.0,2865.0,10900.0
26.0,2794.0,16800.0
30.0,2826.0,5500.0
9.0,2434.0,1600.0
0.0,2387.0,0.0
11.0,2355.0,2600.0
0.0,2370.0,0.0
12.0,2526.0,3300.0
8.0,2386.0,700.0
9.0,2705.0,2200.0
31.0,2448.0,17400.0
47.0,2466.0,21800.0
10.0,2423.0,3500.0
39.0,2361.0,15700.0
0.0,2480.0,0.0
20.0,2441.0,3900.0
17.0,2470.0,7200.0
32.0,2494.0,3100.0
21.0,2607.0,4900.0
36.0,2603.0,20000.0
14.0,2468.0,2000.0
33.0,2740.0,8500.0
