BEN,TIME,NODE
16.95,44.5,2.0
20.7,37.9,1.95
28.85,36.9,1.95
21.85,37.7,2.0
12.55,39.15,2.0
20.35,40.45,2.0
20.05,40.8,1.85
15.2,35.15,1.8
11.4,34.45,1.7
18.4,40.95,1.95
12.35,36.6,1.8
11.25,41.25,1.8
26.35,45.25,2.05
21.3,47.8,1.85
19.55,47.7,1.85
24.2,47.8,2.0
27.5,38.7,2.0
10.3,36.2,1.75
23.6,45.15,1.95
18.5,43.75,1.85
16.55,45.55,1.95
6.15,54.1,1.45
15.4,55.35,2.0
17.6,48.75,1.95
17.05,58.05,1.9
10.05,82.7,1.85
13.95,39.3,1.8
12.0,36.8,1.9
24.55,40.25,1.9
18.25,41.65,1.85
13.4,37.3,1.8
21.3,39.1,1.95
15.35,35.45,1.8
12.05,40.65,1.95
6.2,28.9,1.35
15.6,39.3,1.7
18.55,42.1,1.95
20.05,73.85,2.0
28.85,45.45,2.0
32.2,47.8,2.1
28.25,42.25,2.05
15.15,33.1,1.7
18.05,40.25,1.9
20.8,39.95,1.95
14.2,32.45,1.65
15.15,40.95,2.0
22.15,41.15,2.0
17.75,40.7,1.95
13.9,43.75,1.9
7.95,41.85,1.85
18.55,38.2,1.85
13.15,37.7,1.7
17.95,55.7,1.95
16.45,41.3,1.9
22.15,40.65,2.0
18.75,43.55,1.9
22.15,40.5,1.85
17.5,40.25,1.95
19.35,41.75,1.95
24.9,41.4,2.05
18.3,43.5,1.9
23.4,39.5,1.95
15.7,37.85,1.95
24.6,49.9,2.35
11.45,37.0,1.75
21.1,39.8,2.0
13.35,45.95,2.0
14.85,37.8,1.85
13.25,38.75,2.0
21.2,42.95,1.95
21.45,48.3,2.0
10.45,63.3,1.95
10.75,43.0,1.95
21.35,41.25,2.0
12.2,35.25,1.75
24.4,39.7,2.0
11.2,34.95,1.8
25.1,42.1,2.0
21.8,36.35,1.9
15.85,34.7,1.8
25.85,48.1,1.95
16.3,37.15,1.85
31.95,39.75,1.95
20.15,40.0,1.95
10.05,53.9,1.75
17.35,55.4,1.8
23.5,45.55,2.0
19.55,37.4,1.85
9.2,34.1,1.75
14.4,36.5,1.85
8.95,41.5,2.1
13.7,43.05,1.9
17.8,42.05,1.95
16.65,36.8,1.8
19.15,38.35,1.9
15.85,40.4,1.95
15.7,42.0,1.85
10.75,37.05,1.7
22.1,41.85,1.95
20.65,37.35,1.9
